setor;bairro;Distrito;Tipo;Domicílios;rede geral;poço profundo;poço raso;rios;outra forma;com banheiro exclusivo;sem banheiro;fossa séptica ou fossa filtro não ligada à rede;esgoto por fossa rudimentar ou buraco;esgoto do banheiro, sanitário ou buraco é vala;rio, lago, córrego ou mar;outra forma;coletado;depositado em caçamba;queimado;enterrado;jogado em terreno baldio;outro destino 
150130305000001;COMERCIAL;Sede;Tipo 1;175;50.28%;49.14%;0.00%;0.00%;0.00%;100%;0.00%;2.29%;5.73%;0.00%;0.00%;0.00%;100%;0.00%;0.00%;0.00%;0.00%;0.00% 
150130305000002;COMERCIAL;Sede;Tipo 1;193;34.20%;61.14%;4.66%;0.00%;0.00%;99.48%;0.00%;10.86%;1.55%;0.00%;0.00%;0.00%;100%;0.00%;0.00%;0.00%;0.00%;0.00% 
150130305000003;CENTRO;Sede;Tipo 1;336;29.17%;49.40%;21.13%;0.00%;0.00%;99.11%;0.00%;56.37%;0.00%;1.79%;0.00%;0.00%;99.11%;0.89%;0.00%;0.00%;0.00%;0.00% 
150130305000004;CENTRO;Sede;Tipo 1;219;5.02%;94.98%;0.00%;0.00%;0.00%;100%;0.00%;80.35%;1.83%;0.00%;0.00%;0.00%;99.54%;0.00%;0.00%;0.00%;0.00%;0.00% 
150130305000005;PEDREIRA;Sede;Tipo 1;283;7.07%;91.87%;1.06%;0.00%;0.00%;98.94%;0.00%;84.08%;2.83%;0.00%;0.00%;0.00%;99.65%;0.00%;0.00%;0.00%;0.00%;0.00% 
150130305000006;CENTRO;Sede;Tipo 1;374;4.28%;52.94%;42.78%;0.00%;0.00%;99.47%;0.00%;9.89%;63.09%;0.00%;0.00%;0.00%;97.86%;1.87%;0.00%;0.00%;0.00%;0.00% 
150130305000007;COMERCIAL;Sede;Tipo 1;210;49.52%;35.24%;14.76%;0.00%;0.00%;96.67%;1.43%;21.96%;9.07%;15.75%;14.80%;0.00%;96.67%;1.91%;0.00%;0.00%;0.00%;0.00% 
150130305000008;COMERCIAL;Sede;Tipo 1;265;47.17%;33.96%;18.11%;0.00%;0.00%;98.87%;0.00%;1.52%;35.30%;3.80%;36.44%;1.52%;99.25%;0.00%;0.00%;0.00%;0.00%;0.00% 
150130305000009;NAZARÉ;Sede;Tipo 1;369;23.31%;45.26%;28.18%;0.81%;2.44%;99.19%;0.00%;0.81%;75.83%;0.00%;2.98%;1.35%;99.46%;0.00%;0.00%;0.00%;0.00%;0.00% 
150130305000010;COMERCIAL;Sede;Tipo 1;247;29.55%;59.51%;10.53%;0.00%;0.00%;1+R1100%;0.00%;11.37%;48.32%;0.00%;0.00%;0.00%;100%;0.00%;0.00%;0.00%;0.00%;0.00% 
150130305000011;BETANIA;Sede;Tipo 1;349;19.77%;34.67%;44.70%;0.00%;0.86%;98.85%;0.00%;18.90%;40.95%;12.89%;8.59%;0.00%;99.71%;0.00%;0.00%;0.00%;0.00%;0.00% 
150130305000012;BETANIA;Sede;Tipo 1;350;10.00%;86.00%;4.00%;0.00%;0.00%;99.43%;0.00%;2.29%;96.83%;0.00%;0.00%;0.00%;99.14%;0.00%;0.00%;0.00%;0.00%;0.00% 
150130305000013;PEDREIRA;Sede;Tipo 1;213;1.41%;70.42%;28.17%;0.00%;0.00%;99.06%;0.00%;72.30%;23.00%;2.82%;0.00%;0.00%;100%;0.00%;0.00%;0.00%;0.00%;0.00% 
150130305000014;PEDREIRA;Sede;Tipo 1;262;9.16%;41.60%;48.85%;0.00%;0.00%;99.24%;0.00%;5.36%;82.35%;0.00%;0.00%;0.00%;99.62%;0.00%;0.00%;0.00%;0.00%;0.00% 
150130305000015;;Sede;Tipo 1;208;13.46%;42.79%;40.87%;1.44%;1.44%;99.04%;0.00%;41.80%;2.40%;18.26%;32.19%;0.00%;99.52%;0.00%;0.00%;0.00%;0.00%;0.00% 
